Weight,From,To
1,1.00052E+18,2781202710
1,1.00259E+18,2946171664
1,1.00355E+18,16545981
1,1.0046E+18,9.92498E+17
1,1.00476E+18,1.30315E+18
1,1.00492E+18,1.37323E+18
1,1.00492E+18,1384411003
1,1.00492E+18,1.34351E+18
1,1.00542E+18,1.32964E+18
1,1.00612E+18,1.29612E+18
1,1.00612E+18,8.53836E+17
1,1.00612E+18,38944750
1,1.00612E+18,9.47532E+17
1,1.00616E+18,3195889007
1,1.00616E+18,1373901266
1,1.00754E+18,4666179488
1,1.00852E+18,1.03971E+18
1,1.00852E+18,1.24714E+18
1,1.00931E+18,1.346E+18
1,1.00931E+18,1.31111E+18
1,1.00931E+18,9.52595E+17
1,1.00931E+18,1.15149E+18
1,1.00931E+18,9.12747E+17
1,1.00931E+18,9.92535E+17
1,1.00931E+18,426277984
1,1.00931E+18,7.04793E+17
1,1.01046E+18,87493194
1,1.01114E+18,194499127
1,1.01114E+18,1.1179E+18
1,1.01202E+18,1.19766E+18
1,1.013E+18,1.26107E+18
1,1.013E+18,1.26454E+18
1,1.013E+18,3929161
1,1.013E+18,1218147452
1,1.013E+18,1.24032E+18
1,101317272,1.08428E+18
1,101317272,1.20376E+18
1,1.01622E+18,9.51376E+17
1,1.01639E+18,1.35842E+18
1,1.01639E+18,1.35519E+18
1,1.01639E+18,1.36E+18
1,1.01775E+18,9.49051E+17
1,1.01775E+18,34596198
1,1.01775E+18,1.29386E+18
1,1.01775E+18,9.95698E+17
1,1.01936E+18,1.29893E+18
1,1.01936E+18,9.82014E+17
1,1.01936E+18,1325491398
1,1.02031E+18,437819112
1,1.02031E+18,1.10645E+18
1,1.02139E+18,3038412281
1,1.02151E+18,17532775
1,1.02151E+18,2206539405
1,1.02151E+18,9.51376E+17
1,1.02235E+18,7.96335E+17
1,1.0234E+18,1051409982
1,1.02553E+18,3686828722
1,102700779,426277984
1,102700779,8.46492E+17
1,1.02866E+18,1.37042E+18
1,1.03005E+18,55585412
1,1.03005E+18,8.1816E+17
1,1.03005E+18,1.1866E+18
1,1.03005E+18,9.99181E+17
1,1.03138E+18,9.48081E+17
1,1.03165E+18,1.32795E+18
1,1.03165E+18,9.65865E+17
1,1.03165E+18,1.16986E+18
1,1.03165E+18,1.33109E+18
1,1.03165E+18,1.19881E+18
1,1.03165E+18,4071006503
1,1.03165E+18,9.44593E+17
1,1.03204E+18,1.13221E+18
1,1.03259E+18,9.04612E+17
1,1.03259E+18,21326475
1,1.03259E+18,1.05256E+18
1,1.03259E+18,9.44837E+17
1,1.03407E+18,322286421
1,1.03542E+18,9.63674E+17
1,1.03542E+18,2922331025
1,1.03542E+18,339544187
1,1.03542E+18,1.25937E+18
1,1.03542E+18,1.34297E+18
1,1.03542E+18,1.30824E+18
1,1.03542E+18,1.15826E+18
1,1.03545E+18,9.31954E+17
1,1.03627E+18,2939933507
1,1.03985E+18,1.25257E+18
1,104119607,3547970067
1,1.04243E+18,9.00741E+17
1,1.04331E+18,1.06788E+18
1,1.04331E+18,1.27301E+18
1,1.04331E+18,9.26443E+17
1,1.04331E+18,3114052794
1,1.04331E+18,1.28962E+18
1,1.04824E+18,9.11959E+17
1,104904044,266260135
1,1.05113E+18,9.01266E+17
1,1051409982,1.0234E+18
1,1.05182E+18,1.27033E+18
1,1.05182E+18,1084984824
1,1.05256E+18,3307318595
1,1.05267E+18,1.2482E+18
1,1.05267E+18,1.27243E+18
1,1.05267E+18,1.27043E+18
1,1.05267E+18,8.38073E+17
1,1.05267E+18,9.13375E+17
1,1.05487E+18,1.09302E+18
1,105500699,20066079
1,1.05608E+18,3627765012
1,1.05608E+18,1.37941E+18
1,1.05608E+18,1.1417E+18
1,1.05608E+18,1.30508E+18
1,1.05903E+18,1.34102E+18
1,1.05903E+18,1.29612E+18
1,1.05903E+18,1.22471E+18
1,1.05986E+18,1.17178E+18
1,1.05986E+18,1.27301E+18
1,1.06135E+18,9.49086E+17
1,1.06135E+18,1402485997
1,1.06135E+18,18152452
1,1.06135E+18,8.22229E+17
1,1.06135E+18,9.00741E+17
1,1.06135E+18,1.08428E+18
1,1.06135E+18,8.38077E+17
1,1.06135E+18,1.08452E+18
1,1.06135E+18,260079722
1,1.06145E+18,1.14997E+18
1,1.06145E+18,1.14989E+18
1,1.06145E+18,1.26107E+18
1,1.06164E+18,1.35556E+18
1,1.06164E+18,14348298
1,1.06164E+18,9.97327E+17
1,1.06164E+18,184954346
1,1.06164E+18,1.27301E+18
1,1.06216E+18,1.35519E+18
1,1.06216E+18,333726113
1,1.06216E+18,7.81597E+17
1,1.06407E+18,1.07887E+18
1,1.06788E+18,3023360911
1,1.06788E+18,1.33663E+18
1,1.06788E+18,1.35492E+18
1,1.06788E+18,8.22229E+17
1,1.06788E+18,1.20376E+18
1,1.06788E+18,1.29395E+18
1,1.06788E+18,1.18856E+18
1,1.06788E+18,1.26322E+18
1,1.06788E+18,1.31111E+18
1,1.06788E+18,264085436
1,1.06788E+18,1.08428E+18
1,1.074E+18,9.61817E+17
1,1.074E+18,157324480
1,1.074E+18,560892332
1,1.07404E+18,1.24244E+18
1,1.07404E+18,194499127
1,1.07449E+18,1.27138E+18
1,1.07551E+18,7.52342E+17
1,1.07612E+18,1.37941E+18
1,1.07841E+18,9.46482E+17
1,1.07841E+18,1.36161E+18
1,1.07841E+18,1.05069E+18
1,1.07841E+18,1.21608E+18
1,1.07867E+18,1.2062E+18
1,1.07887E+18,3627765012
1,1.07887E+18,1.37941E+18
1,1.07887E+18,1.06407E+18
1,1.07936E+18,9.99469E+17
1,1.07936E+18,9.69616E+17
1,1.07936E+18,942617634
1,1.07936E+18,7.27078E+17
1,1.07936E+18,9.8984E+17
1,1.07936E+18,1.27033E+18
1,1.07936E+18,594564076
1,1.07936E+18,3059706638
1,1.07936E+18,7.82602E+17
1,1.07936E+18,58007666
1,1.07936E+18,2248313230
1,1.07936E+18,271911263
1,1.07936E+18,1.11779E+18
1,1.07936E+18,1.27043E+18
1,1.07936E+18,9.67143E+17
1,1.07936E+18,1.21304E+18
1,1.07936E+18,1.28056E+18
1,1.08123E+18,1.19766E+18
1,1.08123E+18,8.49268E+17
1,1.08152E+18,8.38073E+17
1,1.08188E+18,1.17646E+18
1,1.08188E+18,312636941
1,1.08188E+18,217425933
1,1.08303E+18,1.18708E+18
1,1.08342E+18,30062488
1,1.08342E+18,1.35492E+18
1,1.08362E+18,1.24129E+18
1,1.08428E+18,9.08691E+17
1,1.08428E+18,192446249
1,1.08428E+18,1.06135E+18
1,1.08428E+18,1.06788E+18
1,1.08428E+18,1.04331E+18
1,1.08428E+18,1.30732E+18
1,1.08428E+18,8.50003E+17
1,1.08428E+18,242151754
1,1.08428E+18,406654240
1,1.08428E+18,9.51495E+17
1,1.08428E+18,4528248976
1,1.08428E+18,1.08303E+18
1,1.08428E+18,4239143413
1,1.08428E+18,101317272
1,1.08428E+18,1.1222E+18
1,1.08429E+18,2263137086
1,1.08452E+18,192446249
1,1.08452E+18,1.29395E+18
1,1.08452E+18,1.36237E+18
1,1.08452E+18,1.3657E+18
1,1084984824,62108806
1,1.08638E+18,25949466
1,1.08638E+18,1384411003
1,1.08638E+18,1.20289E+18
1,1.08638E+18,1.31206E+18
1,1.08638E+18,1.22231E+18
1,1.08638E+18,1.24714E+18
1,108878985,110605827
1,1.08905E+18,192446249
1,1.08905E+18,1.34102E+18
1,1.08905E+18,1.26648E+18
1,1.08905E+18,2341284950
1,1.08921E+18,150159234
1,1.08921E+18,9.28888E+17
1,1.08921E+18,9.71137E+17
1,1.08921E+18,1867108873
1,1.08921E+18,7.59051E+17
1,1.08921E+18,9.51877E+17
1,1.08921E+18,1.07936E+18
1,1.08921E+18,9.34871E+17
1,1.08921E+18,2337724718
1,1.08921E+18,2538082935
1,1.08921E+18,1.32948E+18
1,1.08921E+18,1.15769E+18
1,1.08921E+18,1.0046E+18
1,1.09173E+18,1.31111E+18
1,1.09173E+18,1.27066E+18
1,1.09173E+18,2280805769
1,1.09173E+18,2615972152
1,1.09173E+18,53143589
1,1.09173E+18,1.27329E+18
1,1.09426E+18,2227519243
1,1.09426E+18,42567817
1,1.09426E+18,1.03005E+18
1,1.09426E+18,1.18633E+18
1,1.09726E+18,7.46783E+17
1,1.09844E+18,9.78242E+17
1,1.09844E+18,9.39307E+17
1,1.10443E+18,2268584392
1,1.10554E+18,9.49086E+17
1,1.10554E+18,1.03566E+18
1,1.10554E+18,3388780323
1,1.10554E+18,4744548854
1,1.10554E+18,1.30732E+18
1,1.10554E+18,53143589
1,1.10554E+18,2615972152
1,110626303,9.01059E+17
1,1.10839E+18,1.21304E+18
1,1.10845E+18,1.25321E+18
1,1.10868E+18,513559960
1,1.10868E+18,43301547
1,1.10868E+18,130384095
1,1.10868E+18,9.63976E+17
1,1.11016E+18,2668541539
1,1.11016E+18,9.25002E+17
1,1.11096E+18,2645449265
1,1.11129E+18,468022281
1,1.11129E+18,91473252
1,1.11129E+18,6.98614E+17
1,1.11129E+18,548342907
1,1.11129E+18,1.25623E+18
1,1.11129E+18,9.48285E+17
1,111421712,1.29395E+18
1,1.11456E+18,194499127
1,1.11573E+18,9.71729E+17
1,1.11713E+18,2539632308
1,1.11779E+18,1.20347E+18
1,1.11781E+18,335943125
1,1.11781E+18,9.11959E+17
1,1.1179E+18,1.31206E+18
1,1.11846E+18,51809476
1,1.11846E+18,1.05256E+18
1,1.1203E+18,1.06483E+18
1,1.1222E+18,192446249
1,1.1222E+18,1.08428E+18
1,1.1222E+18,1.26648E+18
1,1.1222E+18,2742279203
1,1.1222E+18,3114052794
1,112256703,9.92535E+17
1,1.125E+18,1.20452E+18
1,1.12786E+18,2172540562
1,1.12803E+18,2881586303
1,1.12803E+18,1.24979E+18
1,1.12803E+18,339544187
1,1.13043E+18,1.1402E+18
1,1.13043E+18,420710798
1,1.1319E+18,1.21466E+18
1,1.13221E+18,1.03204E+18
1,1.13388E+18,1.23999E+18
1,1.13401E+18,9.49086E+17
1,1.13401E+18,9.12747E+17
1,1.13401E+18,9.00741E+17
1,1.13401E+18,406654240
1,1.13401E+18,1.10554E+18
1,1.13846E+18,7.88776E+17
1,1.13998E+18,9.01059E+17
1,1.14007E+18,165241607
1,1.1411E+18,3348565750
1,1.1411E+18,1.27043E+18
1,1.1411E+18,1.17178E+18
1,1.14146E+18,8.77408E+17
1,1.14146E+18,9.21785E+17
1,1.14146E+18,1431264253
1,1.14153E+18,9.69616E+17
1,1.1417E+18,1.06145E+18
1,1.1417E+18,1.23628E+18
1,1.1417E+18,9.91238E+17
1,1.1417E+18,1.29566E+18
1,1.1417E+18,1.26914E+18
1,1.1417E+18,1.05608E+18
1,1.14227E+18,8.72973E+17
1,1.14301E+18,1.29386E+18
1,1.14301E+18,1.29421E+18
1,1.1459E+18,216877746
1,1.1459E+18,1.33474E+18
1,1.1459E+18,8.08117E+17
1,1.14629E+18,1.23559E+18
1,1.1485E+18,48438207
1,1.1485E+18,7.91894E+17
1,1.14989E+18,1.06145E+18
1,1.14997E+18,1.06145E+18
1,1.14997E+18,767442764
1,1.14997E+18,34609862
1,1.15027E+18,4071006503
1,1.15027E+18,1.35783E+18
1,1.15027E+18,2754243826
1,1151355734,1.37941E+18
1,1151355734,9.79251E+17
1,1.15149E+18,9.14761E+17
1,1.15149E+18,18152452
1,1.15183E+18,500399906
1,115277678,70183578
1,1.15396E+18,1.29774E+18
1,1.15578E+18,1357980644
1,1.15627E+18,9.8126E+17
1,1.15769E+18,1631401460
1,1.15769E+18,9.08691E+17
1,1.15769E+18,192446249
1,1.15769E+18,1.22256E+18
1,1.15769E+18,15404720
1,1.15769E+18,1.31111E+18
1,1.15769E+18,1.08342E+18
1,1.15769E+18,1.20364E+18
1,1.15769E+18,2341284950
1,1.15769E+18,4528248976
1,1.15769E+18,1.27301E+18
1,1.15769E+18,9.7898E+17
1,1.15769E+18,7.33809E+17
1,1.15769E+18,1.30838E+18
1,1.15769E+18,1.18708E+18
1,1.15769E+18,130384095
1,1.15769E+18,1.19171E+18
1,1.15769E+18,53143589
1,1.15769E+18,9.30238E+17
1,1.15769E+18,2615972152
1,1.15769E+18,242151754
1,1.15769E+18,1.00931E+18
1,1.15769E+18,7.35966E+17
1,1.15769E+18,627476981
1,1.15769E+18,1.32948E+18
1,1.15826E+18,2922331025
1,1.15826E+18,1.31111E+18
1,1.15826E+18,1.17758E+18
1,1.15826E+18,1.20376E+18
1,1.15826E+18,1.03542E+18
1,1.15826E+18,1.35373E+18
1,1.15913E+18,1.26463E+18
1,1159890631,87472789
1,1.16108E+18,2268584392
1,1.16314E+18,157605764
1,116430721,9.99181E+17
1,116430721,1.18633E+18
1,116430721,1.03005E+18
1,116430721,1.1866E+18
1,116430721,2227519243
1,1.16814E+18,7.02604E+17
1,1.16986E+18,9.14248E+17
1,1.16986E+18,1.03165E+18
1,1.17064E+18,9.46846E+17
1,1.17138E+18,17532775
1,1.17178E+18,758947081
1,1.17178E+18,426277984
1,1.17178E+18,406654240
1,1.17178E+18,9.37753E+17
1,1.17434E+18,1.34297E+18
1,1.17434E+18,58007666
1,117550842,183362434
1,117550842,1.35997E+18
1,117550842,1.29687E+18
1,117550842,443073989
1,117550842,730481172
1,117550842,1.34649E+18
1,117550842,1.36595E+18
1,117550842,1.32625E+18
1,11774,2270959364
1,11774,460968098
1,11774,183362434
1,11774,1.34944E+18
1,11774,1.37073E+18
1,1177439730,8.1723E+17
1,1.17758E+18,2922331025
1,1.17758E+18,1.25937E+18
1,1.17804E+18,578380018
1,1.17828E+18,1.1844E+18
1,1.17828E+18,9.71653E+17
1,1.17828E+18,4071006503
1,1.17828E+18,8.50003E+17
1,1.17828E+18,1.05986E+18
1,1.17828E+18,7.38293E+17
1,1.17828E+18,1.10554E+18
1,1.17828E+18,230028736
1,1.18027E+18,1.37941E+18
1,1.18173E+18,1.353E+18
1,1.18436E+18,1.27119E+18
1,1.1844E+18,334623243
1,1.1844E+18,8483002
1,1.1844E+18,1.06135E+18
1,1.1844E+18,1.28776E+18
1,1.1844E+18,1.17761E+18
1,1.1844E+18,9.44593E+17
1,1.1844E+18,9.64652E+17
1,1.1844E+18,43301547
1,1.1844E+18,1.28713E+18
1,1.1844E+18,9.64516E+17
1,1.1844E+18,315891651
1,1.1844E+18,1.17828E+18
1,1.1844E+18,855952662
1,1.1844E+18,1.15149E+18
1,1.1844E+18,20912098
1,1.18633E+18,55585412
1,1.18633E+18,116430721
1,1.18633E+18,1.16108E+18
1,1.18633E+18,1.1866E+18
1,1.18633E+18,9.99181E+17
1,1.18708E+18,9.42184E+17
1,1.18708E+18,1.08303E+18
1,1.18708E+18,4528248976
1,1.18708E+18,17002351
1,1.18856E+18,9.41994E+17
1,1.18856E+18,1.26322E+18
1,1.18856E+18,315891651
1,1.18856E+18,270698032
1,1.18856E+18,1.1886E+18
1,1.18856E+18,2615972152
1,1.18856E+18,406654240
1,1.18856E+18,3114052794
1,1.19171E+18,192446249
1,1.19171E+18,9.42184E+17
1,1.19171E+18,1.34102E+18
1,1.19171E+18,1.3657E+18
1,1.19171E+18,264085436
1,1.19171E+18,1.28245E+18
1,1.19171E+18,9.05111E+17
1,1.19171E+18,270698032
1,1.19171E+18,1.28713E+18
1,1.19171E+18,406654240
1,1.19171E+18,1.15769E+18
1,1.19171E+18,627476981
1,1.19171E+18,426277984
1,1.19171E+18,38729611
1,1.19171E+18,18152452
1,1.1934E+18,4827890056
1,1.1934E+18,3372411574
1,1.1953E+18,202119411
1,1.19766E+18,1.3315E+18
1,1.19766E+18,1.01202E+18
1,1.19766E+18,9.71653E+17
1,1.19766E+18,1.28159E+18
1,1.19881E+18,1.03165E+18
1,1.19899E+18,1.26548E+18
1,1.20141E+18,1.27514E+18
1,1.20141E+18,4071006503
1,1.20141E+18,1.27329E+18
1,1.20141E+18,508182536
1,1.20206E+18,91473252
1,1.20206E+18,1.24213E+18
1,1.20206E+18,1.30824E+18
1,1.20206E+18,548342907
1,1.20206E+18,1.25623E+18
1,1.20221E+18,1.21828E+18
1,1.20278E+18,2873955731
1,1.20278E+18,9.78128E+17
1,1.20278E+18,130384095
1,1.20278E+18,1.22452E+18
1,120288669,366703037
1,1.20289E+18,9.46448E+17
1,1.20289E+18,1.08638E+18
1,1.20289E+18,2781202710
1,1.20289E+18,1.353E+18
1,1.20289E+18,1.05532E+18
1,1.20289E+18,240095290
1,1.20289E+18,9.63254E+17
1,1.20289E+18,9.8832E+17
1,1.20339E+18,1.37588E+18
1,1.20339E+18,1.25991E+18
1,1.20339E+18,1.37745E+18
1,1.20339E+18,1.31061E+18
1,1.20339E+18,1.37752E+18
1,1.20339E+18,1.32667E+18
1,1.20339E+18,8.57404E+17
1,1.20339E+18,1.36687E+18
1,1.20339E+18,9.75968E+17
1,1.20364E+18,1.33663E+18
1,1.20364E+18,1.1222E+18
1,1.20364E+18,1.36237E+18
1,1.20364E+18,1.22281E+18
1,1.20364E+18,315891651
1,1.20364E+18,1.18708E+18
1,1.20364E+18,1.09173E+18
1,1.20364E+18,9.44593E+17
1,1.20364E+18,9.26443E+17
1,1.20364E+18,242151754
1,1.20364E+18,1.20376E+18
1,1.20364E+18,1.30824E+18
1,1.20364E+18,1.15769E+18
1,1.20364E+18,1.18856E+18
1,1.20364E+18,1.28713E+18
1,1.20376E+18,1.25108E+18
1,1.20376E+18,1.08342E+18
1,1.20376E+18,1.21408E+18
1,1.20376E+18,1.20364E+18
1,1.20376E+18,9.51877E+17
1,1.20376E+18,130384095
1,1.20376E+18,1.26648E+18
1,1.20376E+18,9.82214E+17
1,1.20376E+18,1.13401E+18
1,1.20451E+18,3268838984
1,1.20451E+18,286442602
1,1.20451E+18,15329909
1,1.20451E+18,1.25991E+18
1,1.20451E+18,21537473
1,1.20451E+18,1218147452
1,1.20451E+18,1.20664E+18
1,1.20451E+18,1.24032E+18
1,1.20451E+18,1.013E+18
1,1.20452E+18,4898301
1,1.20452E+18,1.125E+18
1,1.20452E+18,1.13846E+18
1,1.20452E+18,4666179488
1,1.2062E+18,1.27033E+18
1,1.2062E+18,1.07867E+18
1,1.20664E+18,398794375
1,1.20664E+18,2742279203
1,1.20664E+18,1.20451E+18
1,1.20779E+18,1.04243E+18
1,1.20779E+18,40614474
1,1213873928,3415077141
1,1213873928,19841658
1,1.21408E+18,1.20376E+18
1,1.21408E+18,9.6145E+17
1,1.21466E+18,8.49268E+17
1,1.21466E+18,1.3664E+18
1,1.21466E+18,1.34463E+18
1,1.21466E+18,1.1319E+18
1,1.21738E+18,1.37941E+18
1,1218147452,1.013E+18
1,1.21817E+18,9.30041E+17
1,1.21817E+18,1.14007E+18
1,1.21828E+18,1.37941E+18
1,1.21828E+18,1151355734
1,1.21866E+18,9.8126E+17
1,1.21948E+18,9.86956E+17
1,1.22231E+18,1.08638E+18
1,1.22231E+18,1.02235E+18
1,1.22256E+18,1.346E+18
1,1.22256E+18,130384095
1,1.22256E+18,415671881
1,122258113,9.46482E+17
1,122258113,9.44593E+17
1,122258113,1.36237E+18
1,1.22281E+18,44820343
1,1.22281E+18,3114052794
1,1.22371E+18,1.26211E+18
1,1.22371E+18,45048443
1,1.22371E+18,9.34871E+17
1,1.22371E+18,1.14997E+18
1,1.22371E+18,1.33506E+18
1,1.22371E+18,900265802
1,1.22452E+18,9.49086E+17
1,1.22452E+18,2873955731
1,1.22452E+18,1213873928
1,1.22452E+18,469314544
1,1.22452E+18,1559043654
1,1.22452E+18,9.78128E+17
1,1.22452E+18,1.20278E+18
1,1.22452E+18,1.04331E+18
1,1.22452E+18,46770271
1,1.22452E+18,1.35373E+18
1,1.22452E+18,2615972152
1,1.22452E+18,1.10554E+18
1,1.22452E+18,406654240
1,122520941,1.13483E+18
1,122520941,1080996930
1,122520941,77380160
1,1.22628E+18,1.37416E+18
1,1.22628E+18,1.37588E+18
1,1.22628E+18,1.37745E+18
1,1.22628E+18,1.37752E+18
1,1.22628E+18,1.37325E+18
1,1.22628E+18,1.36897E+18
1,1.22628E+18,2270959364
1,1.22628E+18,1.36738E+18
1,1.22628E+18,1.03138E+18
1,1.22628E+18,11774
1,1.22628E+18,1.37004E+18
1,1.22942E+18,1.30468E+18
1,1.22991E+18,1.07449E+18
1,1.23012E+18,2559005541
1,1.23012E+18,19640334
1,1.23012E+18,1.37941E+18
1,1.23012E+18,7.82602E+17
1,1.23069E+18,1.25406E+18
1,1.23069E+18,1.29386E+18
1,1.23069E+18,1.34506E+18
1,1.23069E+18,1.34506E+18
1,1.23117E+18,17413138
1,1.23127E+18,1.31836E+18
1,1.23127E+18,539372253
1,1.23127E+18,1.35475E+18
1,1.23127E+18,1.23293E+18
1,1.23293E+18,539372253
1,1.23293E+18,1.35475E+18
1,1.23293E+18,1.23127E+18
1,1.23293E+18,1.37941E+18
1,1.23293E+18,1.29566E+18
1,1.23338E+18,1076938928
1,1.23559E+18,1.12839E+18
1,1.23559E+18,9.97596E+17
1,1.23559E+18,164595203
1,1.23559E+18,1.05532E+18
1,1.23559E+18,157605764
1,1.2362E+18,9.64516E+17
1,1.2362E+18,1.1546E+18
1,1.2362E+18,1.21466E+18
1,1.23628E+18,1.06145E+18
1,1.23628E+18,1.1417E+18
1,1.23628E+18,1.26914E+18
1,1.23628E+18,1.37941E+18
1,1.23737E+18,1.32646E+18
1,1.23737E+18,2470000940
1,1.23737E+18,7.6654E+17
1,123783243,9.48081E+17
1,123783243,1.03138E+18
1,1.23885E+18,431831209
1,1.23898E+18,1.33663E+18
1,1.23898E+18,1.3657E+18
1,1.23898E+18,1.27066E+18
1,1.23898E+18,1.26322E+18
1,1.23898E+18,9.05111E+17
1,1.23898E+18,1.18856E+18
1,1.23898E+18,4528248976
1,1.23898E+18,1.10554E+18
1,1.23898E+18,38729611
1,1.23994E+18,2280805769
1,1.23999E+18,3307318595
1,1.24028E+18,1.36595E+18
1,1.24028E+18,26797907
1,1.24028E+18,1.25991E+18
1,1.24028E+18,1.34722E+18
1,1.24028E+18,9.44279E+17
1,1.24032E+18,1.26107E+18
1,1.24032E+18,15329909
1,1.24032E+18,3929161
1,1.24032E+18,1218147452
1,1.24032E+18,1.20451E+18
1,1.24032E+18,1.013E+18
1,1.24129E+18,1.08362E+18
1,1.24213E+18,1.20206E+18
1,1.24213E+18,9.73588E+17
1,1.24213E+18,548342907
1,1.24213E+18,468022281
1,1.24213E+18,91473252
1,1.24213E+18,6.98614E+17
1,1.24236E+18,9.50495E+17
1,1.24236E+18,9.97596E+17
1,1.24236E+18,1.23559E+18
1,1.24236E+18,9.48524E+17
1,1.24236E+18,1.33451E+18
1,1.24236E+18,1084984824
1,1.24322E+18,2841276346
1,1.24322E+18,335484490
1,1.24322E+18,271537125
1,1.24322E+18,122310026
1,1.24387E+18,1.35556E+18
1,1.24387E+18,7.14813E+17
1,1.24387E+18,51809476
1,1.24387E+18,1.10395E+18
1,1.24387E+18,9.87098E+17
1,1.24419E+18,46737288
1,1.24419E+18,1.37122E+18
1,1.24446E+18,583358541
1,1.24446E+18,2248313230
1,124627569,1.32994E+18
1,1.24714E+18,388726007
1,1.24714E+18,1.00852E+18
1,1.2482E+18,9.13375E+17
1,1.24943E+18,1.31111E+18
1,1.24943E+18,9.30238E+17
1,1.24943E+18,9.4448E+17
1,1.24965E+18,1.31784E+18
1,1.24979E+18,1.1954E+18
1,1.24979E+18,9.61817E+17
1,1.2514E+18,1.26977E+18
1,1.2514E+18,120111839
1,1.25257E+18,7.4467E+17
1,1.25257E+18,9.14248E+17
1,1.25257E+18,2341284950
1,1.25257E+18,1.01843E+18
1,1.25321E+18,1.21304E+18
1,1.25321E+18,1.28342E+18
1,1.25399E+18,1.30255E+18
1,1.25399E+18,1.30258E+18
1,1.25406E+18,1.30255E+18
1,1.25406E+18,1.31364E+18
1,1.25406E+18,1.30258E+18
1,1.25406E+18,1.23069E+18
1,1.25406E+18,2356812614
1,1.25406E+18,1.34506E+18
1,1.25406E+18,1.26556E+18
1,1.25406E+18,2470000940
1,1.25406E+18,1.34506E+18
1,1.25406E+18,1.29471E+18
1,1.25406E+18,1.30477E+18
1,1.25406E+18,1.34506E+18
1,1.25406E+18,1.30574E+18
1,1.25406E+18,9.98985E+17
1,1.25406E+18,1.33848E+18
1,1.25406E+18,1.29421E+18
1,1.25406E+18,1.29386E+18
1,1.25418E+18,9.51666E+17
1,1.25418E+18,1.30015E+18
1,1.25418E+18,1.34297E+18
1,1.25505E+18,1.37941E+18
1,1.25623E+18,1.20206E+18
1,1.25623E+18,1.11129E+18
1,1.25623E+18,468022281
1,1.25623E+18,6.98614E+17
